ID_Pedido,Fecha,Ciudad,Categoria,Producto,Precio_Unitario,Cantidad,Venta_Bruta,Coste_Unitario,Canal,Metodo_Pago,Score_Cliente
20000,2025-05-11,Barcelona,Hogar,Silla Escritorio,373.86,5,1869.3,151.68,Online,Tarjeta,24
20001,2025-02-08,Málaga,Deportes,Esterilla Yoga,208.82,3,626.46,85.98,App,PayPal,4
20002,2025-09-16,Sevilla,Ropa,Zapatillas,297.77,4,1191.08,129.09,Tienda Física,Efectivo,30
20003,2025-01-08,Málaga,Deportes,Mancuernas,505.06,2,1010.12,340.09,Online,Efectivo,50
20004,2025-06-10,Barcelona,Ropa,Chaqueta,335.66,1,335.66,195.68,Online,Tarjeta,83
20005,2025-10-30,Sevilla,Hogar,Lámpara,633.61,5,3168.05,277.37,App,Tarjeta,46
20006,2025-06-05,Zaragoza,Deportes,Esterilla Yoga,97.51,5,487.55,59.29,Online,PayPal,75
20007,2025-11-08,Barcelona,Deportes,Bicicleta,397.94,3,1193.82,266.8,Tienda Física,PayPal,72
20008,2025-04-24,Málaga,Deportes,Esterilla Yoga,673.56,2,1347.12,400.85,Tienda Física,PayPal,9
20009,2025-08-05,Valencia,Ropa,Camiseta,236.16,5,1180.8,133.26,Online,PayPal,58
20010,2025-03-13,Sevilla,Ropa,Zapatillas,372.95,1,372.95,201.54,Tienda Física,Efectivo,80
20011,2025-05-28,Madrid,Electrónica,Auriculares,106.6,5,533.0,71.97,Tienda Física,Tarjeta,13
20012,2025-07-07,Sevilla,Ropa,Pantalón,781.53,4,3126.12,401.29,App,Efectivo,14
20013,2025-10-18,Sevilla,Electrónica,Auriculares,689.64,3,2068.92,435.48,Tienda Física,Tarjeta,83
20014,2025-08-25,Málaga,Hogar,Espejo,341.33,2,682.66,173.69,Tienda Física,Efectivo,65
20015,2025-08-17,Zaragoza,Deportes,Esterilla Yoga,422.94,2,845.88,245.68,Tienda Física,Tarjeta,84
20016,2025-12-14,Zaragoza,Ropa,Zapatillas,161.33,5,806.65,70.82,App,Efectivo,64
20017,2025-05-28,Sevilla,Ropa,Zapatillas,782.22,4,3128.88,322.83,Online,PayPal,49
20018,2025-06-24,Barcelona,Electrónica,Tablet,302.37,5,1511.85,161.92,App,PayPal,57
20019,2025-10-12,Zaragoza,Ropa,Zapatillas,483.42,4,1933.68,242.93,Tienda Física,Efectivo,87
20020,2025-11-10,Málaga,Electrónica,Auriculares,49.0,3,147.0,22.47,App,Efectivo,68
20021,2025-10-17,Madrid,Hogar,Silla Escritorio,115.38,5,576.9,70.44,Online,PayPal,85
20022,2025-09-24,Sevilla,Ropa,Camiseta,409.45,4,1637.8,200.16,Online,Tarjeta,51
20023,2025-10-29,Valencia,Deportes,Balón,39.1,3,,24.23,Online,Tarjeta,87
20024,2025-07-23,Barcelona,Deportes,Mancuernas,638.42,3,1915.26,383.35,Online,Efectivo,61
20025,2025-01-03,Zaragoza,Ropa,Pantalón,132.01,5,660.05,74.76,Tienda Física,Tarjeta,4
20026,2025-03-02,Málaga,Ropa,Zapatillas,553.39,4,2213.56,328.0,Online,Tarjeta,94
20027,2025-09-19,Sevilla,Deportes,Bicicleta,68.28,3,204.84,28.14,App,Efectivo,43
20028,2025-10-19,Málaga,Deportes,Esterilla Yoga,456.55,1,456.55,204.64,App,Efectivo,92
20029,2025-01-28,Valencia,Electrónica,Smartphone,185.53,3,556.59,125.8,App,PayPal,52
20030,2025-05-09,Zaragoza,Ropa,Zapatillas,336.8,3,1010.4,214.94,App,Tarjeta,64
20031,2025-06-27,Zaragoza,Deportes,Bicicleta,323.05,2,646.1,196.87,Tienda Física,Tarjeta,99
20032,2025-12-06,Zaragoza,Ropa,Pantalón,481.65,3,1444.95,242.35,Tienda Física,Tarjeta,44
20033,2025-03-12,Zaragoza,Hogar,Espejo,554.51,5,,265.75,Tienda Física,Efectivo,41
20034,2025-08-08,Sevilla,Deportes,Mancuernas,489.28,2,,305.86,App,Tarjeta,18
20035,2025-04-09,Valencia,Deportes,Bicicleta,27.61,3,82.83,16.46,Online,Tarjeta,17
20036,2025-02-02,Madrid,Hogar,Espejo,379.78,5,,247.18,Tienda Física,Efectivo,15
20037,2025-07-12,Zaragoza,Deportes,Esterilla Yoga,704.09,3,2112.27,333.94,App,Tarjeta,45
20038,2025-08-05,Valencia,Hogar,Silla Escritorio,48.55,2,97.1,29.28,App,PayPal,84
20039,2025-01-24,Barcelona,Hogar,Espejo,644.22,2,1288.44,302.09,App,PayPal,76
20040,2025-10-09,Málaga,Deportes,Bicicleta,425.6,2,851.2,178.25,Tienda Física,Tarjeta,65
20041,2025-03-02,Valencia,Ropa,Zapatillas,220.67,4,882.68,128.57,Tienda Física,PayPal,37
20042,2025-04-02,Málaga,Ropa,Zapatillas,34.28,5,171.4,21.78,Tienda Física,PayPal,9
20043,2025-05-02,Zaragoza,Hogar,Lámpara,448.09,3,1344.27,282.96,Tienda Física,PayPal,75
20044,2025-12-31,Madrid,Electrónica,Laptop,612.82,1,612.82,251.41,Tienda Física,PayPal,43
20045,2025-08-29,Madrid,Deportes,Balón,224.59,5,1122.95,105.32,App,Tarjeta,50
20046,2025-09-10,Sevilla,Electrónica,Auriculares,186.76,2,373.52,98.74,Tienda Física,Tarjeta,84
20047,2025-11-14,Valencia,Electrónica,Laptop,180.64,4,722.56,76.44,Online,Tarjeta,78
20048,2025-01-05,Valencia,Deportes,Esterilla Yoga,415.62,1,415.62,199.69,App,PayPal,90
20049,2025-02-04,Madrid,Ropa,Chaqueta,181.43,1,181.43,85.05,Tienda Física,Tarjeta,21
20050,2025-02-16,Zaragoza,Ropa,Chaqueta,679.59,2,1359.18,418.99,Tienda Física,Efectivo,6
20051,2025-11-28,Madrid,Electrónica,Laptop,109.72,2,219.44,62.94,App,Efectivo,48
20052,2025-05-19,Zaragoza,Deportes,Bicicleta,697.87,3,2093.61,459.02,Online,Efectivo,37
20053,2025-05-19,Madrid,Deportes,Bicicleta,55.08,1,55.08,33.03,Tienda Física,Efectivo,75
20054,2025-01-23,Madrid,Deportes,Mancuernas,629.05,5,3145.25,381.17,App,PayPal,56
20055,2025-10-18,Valencia,Electrónica,Smartphone,363.06,3,1089.18,157.53,App,Efectivo,66
20056,2025-12-31,Zaragoza,Deportes,Balón,325.47,2,650.94,203.52,App,PayPal,99
20057,2025-06-15,Madrid,Ropa,Camiseta,695.73,2,1391.46,453.72,Tienda Física,PayPal,31
20058,2025-06-04,Sevilla,Hogar,Espejo,587.41,1,587.41,264.54,Tienda Física,PayPal,56
20059,2025-08-09,Málaga,Electrónica,Tablet,510.56,4,2042.24,248.34,Online,PayPal,14
20060,2025-08-20,Zaragoza,Ropa,Chaqueta,446.39,5,2231.95,243.42,App,Efectivo,81
20061,2025-04-22,Valencia,Electrónica,Auriculares,243.97,3,731.91,166.95,App,PayPal,69
20062,2025-11-12,Madrid,Deportes,Bicicleta,195.09,3,585.27,124.43,App,PayPal,51
20063,2025-02-04,Madrid,Ropa,Chaqueta,789.88,4,3159.52,492.58,App,PayPal,70
20064,2025-08-25,Barcelona,Ropa,Pantalón,530.28,2,1060.56,329.62,Tienda Física,Tarjeta,100
20065,2025-07-22,Málaga,Electrónica,Smartphone,532.12,4,,348.91,App,PayPal,15
20066,2025-03-30,Barcelona,Hogar,Lámpara,757.82,5,,377.66,App,Tarjeta,84
20067,2025-09-03,Madrid,Hogar,Silla Escritorio,519.51,2,1039.02,242.76,App,Efectivo,85
20068,2025-09-22,Zaragoza,Electrónica,Laptop,642.67,1,642.67,447.18,App,Tarjeta,46
20069,2025-12-15,Zaragoza,Hogar,Silla Escritorio,506.77,1,506.77,208.51,Online,Efectivo,45
20070,2025-12-31,Madrid,Ropa,Pantalón,614.46,3,1843.38,404.98,App,Efectivo,80
20071,2025-08-19,Barcelona,Electrónica,Smartphone,397.93,1,397.93,259.05,Online,Tarjeta,48
20072,2025-10-24,Valencia,Electrónica,Auriculares,599.39,3,1798.17,316.35,App,PayPal,72
20073,2025-12-31,Valencia,Deportes,Esterilla Yoga,257.96,2,515.92,139.02,Online,Efectivo,71
20074,2025-12-16,Madrid,Deportes,Esterilla Yoga,105.58,5,527.9,56.36,App,Efectivo,62
20075,2025-08-12,Zaragoza,Deportes,Esterilla Yoga,290.62,2,581.24,201.87,Tienda Física,Tarjeta,90
20076,2025-10-07,Zaragoza,Deportes,Esterilla Yoga,741.87,2,1483.74,356.31,Online,Efectivo,25
20077,2025-12-03,Málaga,Deportes,Esterilla Yoga,655.44,5,3277.2,367.78,Online,Efectivo,58
20078,2025-12-13,Valencia,Hogar,Silla Escritorio,420.59,5,2102.95,292.08,Online,Efectivo,37
20079,2025-09-29,Barcelona,Electrónica,Smartphone,777.59,5,,449.15,Online,PayPal,15
20080,2025-09-27,Valencia,Hogar,Cafetera,566.24,5,2831.2,390.53,App,Tarjeta,6
20081,2025-08-05,Madrid,Deportes,Mancuernas,674.65,3,2023.95,393.03,Online,Tarjeta,32
20082,2025-01-07,Madrid,Deportes,Mancuernas,427.62,5,2138.1,293.51,App,Efectivo,62
20083,2025-03-14,Madrid,Ropa,Camiseta,34.2,4,136.8,22.32,Online,Tarjeta,11
20084,2025-07-23,Zaragoza,Deportes,Balón,175.49,1,175.49,71.27,Tienda Física,Efectivo,41
20085,2025-11-26,Málaga,Electrónica,Laptop,444.07,4,1776.28,303.75,App,PayPal,87
20086,2025-06-21,Sevilla,Electrónica,Tablet,35.19,2,70.38,20.77,Online,Efectivo,45
20087,2025-04-19,Zaragoza,Deportes,Bicicleta,595.51,1,595.51,352.28,Tienda Física,Tarjeta,94
20088,2025-04-03,Zaragoza,Electrónica,Auriculares,310.25,4,1241.0,193.59,Tienda Física,Tarjeta,24
20089,2025-03-14,Zaragoza,Hogar,Lámpara,213.0,4,852.0,88.44,Tienda Física,Efectivo,80
20090,2025-05-31,Sevilla,Electrónica,Smartphone,429.48,2,858.96,277.76,App,Efectivo,4
20091,2025-12-03,Málaga,Ropa,Chaqueta,712.91,1,712.91,297.05,App,PayPal,62
20092,2025-04-09,Sevilla,Deportes,Mancuernas,151.61,1,151.61,83.88,Tienda Física,Tarjeta,29
20093,2025-09-10,Sevilla,Ropa,Chaqueta,90.57,3,271.71,62.61,Online,Tarjeta,43
20094,2025-04-14,Málaga,Hogar,Cafetera,683.06,5,3415.3,477.89,Tienda Física,Efectivo,33
20095,2025-03-10,Sevilla,Ropa,Chaqueta,628.56,3,1885.68,387.93,Online,Efectivo,58
20096,2025-12-15,Valencia,Electrónica,Smartphone,687.85,1,687.85,379.12,App,PayPal,60
20097,2025-01-31,Valencia,Deportes,Balón,727.99,2,1455.98,443.92,Online,PayPal,3
20098,2025-08-15,Valencia,Electrónica,Auriculares,120.9,2,241.8,84.21,Tienda Física,Tarjeta,94
20099,2025-01-23,Sevilla,Hogar,Espejo,656.61,5,3283.05,418.19,App,PayPal,35
20100,2025-09-14,Barcelona,Deportes,Balón,607.63,2,1215.26,344.9,Online,Tarjeta,59
20101,2025-12-17,Málaga,Deportes,Mancuernas,633.29,3,1899.87,366.02,Online,Tarjeta,54
20102,2025-02-10,Barcelona,Deportes,Esterilla Yoga,609.35,4,2437.4,279.11,App,Efectivo,74
20103,2025-08-21,Valencia,Ropa,Zapatillas,109.45,2,218.9,45.53,Tienda Física,PayPal,19
20104,2025-07-24,Sevilla,Ropa,Pantalón,230.06,1,230.06,160.18,Online,Efectivo,51
